pred,mean_return,median_return,std_return,avg_time_drawdown,sharpe,max_drawdown,cluster_size,silhouette_score,dataset,model,n_clusters,preprocessing
0,0.0003962285903139338,0.0004294551919953709,0.003369469831889699,26.167852311797525,0.7577964156906805,0.08060241608021386,1323,0.7947964470046174,train,KMeansTrainer,2,just_filter
1,6.768046882893114e-05,0.00013558700000423614,0.013243703992760137,258.60063284518526,-0.01592816547137452,0.5983543171717453,615,0.7947964470046174,train,KMeansTrainer,2,just_filter
0,0.0003983706933030476,0.0003788568063676153,0.005539151869709086,30.710044187961127,0.5176361572445679,0.11101625651623472,1528,0.7144331918196041,test,KMeansTrainer,2,just_filter
1,-0.00027034712149332077,-0.0003760393889280157,0.012362444552053965,169.0599870074406,-0.019383566823896324,0.3917411366201363,174,0.7144331918196041,test,KMeansTrainer,2,just_filter
0,0.00019603104774750297,0.0006170698313694287,0.008309728618359716,11.049391719262667,0.34607119758782307,0.06595675468534862,1529,,validation,KMeansTrainer,2,just_filter
0,1.440924056953061e-05,6.221056946606008e-05,0.013464500374853356,249.9385572666534,-0.022501476786789834,0.6359398698077372,569,0.4246734840338739,train,KMeansTrainer,2,scalling
1,0.0004073302084960293,0.0004500784587189867,0.0036094856317355705,37.578099871125836,0.7345304430135561,0.08237773236971789,1369,0.4246734840338739,train,KMeansTrainer,2,scalling
0,-6.147989353989945e-05,-0.0002051958068991154,0.011141743906868158,107.82158976944628,-0.001921634371712456,0.32022953434175894,466,0.3614267142008247,test,KMeansTrainer,2,scalling
1,0.00047760489532104535,0.0004927860780511564,0.004387408372469507,21.113692901243773,0.6379213505336244,0.07165763327301837,1236,0.3614267142008247,test,KMeansTrainer,2,scalling
0,-0.00441771817509458,-0.0002459737635481512,0.030214055627991798,33.77664251225915,-0.047993402019323436,0.22666985918205418,182,0.688330932749873,validation,KMeansTrainer,2,scalling
1,0.000819418099386151,0.0007336800275646771,0.005350123929604675,7.97859762547992,0.399315263755975,0.04424199223664751,1347,0.688330932749873,validation,KMeansTrainer,2,scalling
0,0.0003962285903139338,0.0004294551919953709,0.003369469831889699,26.167852311797525,0.7577964156906805,0.08060241608021386,1323,0.7947964470046166,train,KMeansTrainer,2,PCA
1,6.768046882893114e-05,0.00013558700000423614,0.013243703992760137,258.60063284518526,-0.01592816547137452,0.5983543171717453,615,0.7947964470046166,train,KMeansTrainer,2,PCA
0,0.0003983706933030476,0.0003788568063676153,0.005539151869709086,30.710044187961127,0.5176361572445679,0.11101625651623472,1528,0.7144331918196044,test,KMeansTrainer,2,PCA
1,-0.00027034712149332077,-0.0003760393889280157,0.012362444552053965,169.0599870074406,-0.019383566823896324,0.3917411366201363,174,0.7144331918196044,test,KMeansTrainer,2,PCA
0,0.00019603104774750297,0.0006170698313694287,0.008309728618359716,11.049391719262667,0.34607119758782307,0.06595675468534862,1529,,validation,KMeansTrainer,2,PCA
0,1.440924056953061e-05,6.221056946606008e-05,0.013464500374853356,249.9385572666534,-0.022501476786789834,0.6359398698077372,569,0.4246734840338739,train,KMeansTrainer,2,PCA_scalling
1,0.0004073302084960293,0.0004500784587189867,0.0036094856317355705,37.578099871125836,0.7345304430135561,0.08237773236971789,1369,0.4246734840338739,train,KMeansTrainer,2,PCA_scalling
0,-6.147989353989945e-05,-0.0002051958068991154,0.011141743906868158,107.82158976944628,-0.001921634371712456,0.32022953434175894,466,0.3614267142008247,test,KMeansTrainer,2,PCA_scalling
1,0.00047760489532104535,0.0004927860780511564,0.004387408372469507,21.113692901243773,0.6379213505336244,0.07165763327301837,1236,0.3614267142008247,test,KMeansTrainer,2,PCA_scalling
0,-0.00441771817509458,-0.0002459737635481512,0.030214055627991798,33.77664251225915,-0.047993402019323436,0.22666985918205418,182,0.6883309327498728,validation,KMeansTrainer,2,PCA_scalling
1,0.000819418099386151,0.0007336800275646771,0.005350123929604675,7.97859762547992,0.399315263755975,0.04424199223664751,1347,0.6883309327498728,validation,KMeansTrainer,2,PCA_scalling
0,0.00040761236749427716,0.0004419312539382792,0.0024100471651296983,14.204003838839945,0.8686675069565374,0.044509803888324456,1144,0.7415347080050128,train,KMeansTrainer,3,just_filter
1,2.4090254294803457e-05,0.00012761913270143178,0.013384926625208652,280.5103618992189,-0.025628894158742383,0.6176646895003028,479,0.7415347080050128,train,KMeansTrainer,3,just_filter
2,0.00027932105744274025,0.0002693850950574722,0.010902262643664243,136.65274306964542,0.03583951916709139,0.4058549194154222,315,0.7415347080050128,train,KMeansTrainer,3,just_filter
0,0.0004457582542832616,0.0004251385340870072,0.004905097506918406,21.125604666446357,0.590191556231586,0.08437830358379084,1337,0.7022707759629897,test,KMeansTrainer,3,just_filter
2,-9.399661849178575e-05,-0.00015054211950160854,0.011114449430747844,131.77110087523423,-0.004139186409010327,0.34241645434844387,365,0.7022707759629897,test,KMeansTrainer,3,just_filter
0,0.00019603104774750297,0.0006170698313694287,0.008309728618359716,11.049391719262667,0.34607119758782307,0.06595675468534862,1529,,validation,KMeansTrainer,3,just_filter
0,0.00034691899657045776,0.00041838094781578673,0.005333028243458521,74.27800008702833,0.1652906349023126,0.13644889285667133,973,0.3599803239161289,train,KMeansTrainer,3,scalling
1,-2.195936611401312e-05,3.6807571817318724e-06,0.014087901222614245,259.1281652575515,-0.032018870258423635,0.7019718408632094,461,0.3599803239161289,train,KMeansTrainer,3,scalling
2,0.00047302578855284067,0.0004816939141407582,0.0018236658702921605,3.8271419442207644,1.679963784966385,0.036212520133463384,504,0.3599803239161289,train,KMeansTrainer,3,scalling
